Kind,Identifier,Term
1,13573,"Document, Memorabilia, Album, Postcard Album"
1,13577,"Document, Memorabilia, Album, Scrapbook"
1,13574,"Document, Memorabilia, Album, Stamp Album"
1,13580,"Document, Memorabilia, Commemorative"
1,13579,"Document, Memorabilia, Commemorative Case"
1,13581,"Document, Memorabilia, Commemorative, Commemorative Card"
1,13582,"Document, Memorabilia, Commemorative, Commemorative Certificate"
1,13583,"Document, Memorabilia, Commemorative, Commemorative Coin"
1,13585,"Document, Memorabilia, Commemorative, Commemorative Key"
1,13586,"Document, Memorabilia, Commemorative, Commemorative Medal"
1,13587,"Document, Memorabilia, Commemorative, Commemorative Plate"
1,13588,"Document, Memorabilia, Commemorative, Commemorative Ribbon"
1,13589,"Document, Memorabilia, Commemorative, Commemorative Token"
1,13584,"Document, Memorabilia, Commemorative, First Day Cover"
1,13590,"Document, Memorabilia, Death Mask"
1,13598,"Document, Memorabilia, Hairwork Wreath"
1,13592,"Document, Memorabilia, Historic Relic"
1,13591,"Document, Memorabilia, Memory Quilt"
1,13593,"Document, Memorabilia, Souvenir"
1,13595,"Document, Memorabilia, Souvenir, Death Crown"
1,13596,"Document, Memorabilia, Souvenir, Fairing"
1,13594,"Document, Memorabilia, Souvenir, Souvenir Card"
1,13597,"Document, Memorabilia, Souvenir, Souvenir Spoon"
1,13578,"Document, Memorabilia, Time Capsule"
1,13731,"Document, Microform"
1,13732,"Document, Microform, Microfiche"
1,13733,"Document, Microform, Microfilm"
1,13272,"Document, Minutes"
1,13734,"Document, Model"
1,13737,"Document, Model, Architect's Model"
1,13735,"Document, Model, Diorama"
1,13736,"Document, Model, Diorama, Automata Diorama"
1,13738,"Document, Model, Half Model"
1,13739,"Document, Model, Instructional Model"
1,13742,"Document, Model, Miniature Room"
1,13740,"Document, Model, Patent Model"
1,13741,"Document, Model, Topographic Model"
1,13743,"Document, Note"
1,13744,"Document, Note, Field Note"
1,22007,"Document, Oral History"
1,13599,"Document, Other Documents"
1,13745,"Document, Pamphlet"
1,13746,"Document, Permission"
1,13747,"Document, Permission, Commission"
1,13748,"Document, Permission, License"
1,13749,"Document, Permission, License, Animal License"
1,13750,"Document, Permission, License, Occupational License"
1,13753,"Document, Permission, License, Registration"
1,13751,"Document, Permission, License, Sporting License"
1,13752,"Document, Permission, License, Transportation License"
1,13754,"Document, Permission, Permit"
1,13755,"Document, Permission, Permit, Building Permit"
1,13756,"Document, Permission, Permit, Business Permit"
1,13757,"Document, Permission, Permit, Interment Permit"
1,13758,"Document, Permission, Prescription"
1,13275,"Document, Personnel Record"
1,13276,"Document, Personnel Record, Job Application"
1,13277,"Document, Personnel Record, Resume"
1,13447,"Document, Pictograph"
1,13765,"Document, Pledge"
1,13766,"Document, Pledge, Pledge Card"
1,13767,"Document, Pledge, Pledge Sheet"
1,13310,"Document, Press Kit"
1,13312,"Document, Proclamation"
1,13768,"Document, Program"
1,13769,"Document, Program, Concert Program"
1,13770,"Document, Program, Dance Program"
1,13771,"Document, Program, Theater Program"
1,13470,"Document, Projection"
1,13471,"Document, Projection, Architectural Drawing"
1,13473,"Document, Projection, Elevation"
1,13474,"Document, Projection, Plan"
1,13475,"Document, Projection, Plan, Floor Plan"
1,13476,"Document, Projection, Plan, Site Plan"
